city,segment,sales,sales,sales,sales,sales,profit,profit,profit,profit,profit
Ann Arbor,Corporate,184.11825000000002,736.4730000000001,619.95,29.16,4,38.128949999999996,152.51579999999998,111.591,5.2272,4
Ann Arbor,Home Office,152.8,152.8,152.8,152.8,1,76.4,76.4,76.4,76.4,1
Antioch,Corporate,19.44,19.44,19.44,19.44,1,9.3312,9.3312,9.3312,9.3312,1
Apopka,Consumer,64.384,193.152,129.888,14.32,3,11.566133333333333,34.6984,16.5186,5.191,3
Apopka,Corporate,14.985,29.97,27.018,2.952,2,-11.8896,-23.7792,-2.1648,-21.6144,2
Apopka,Home Office,340.716,681.432,671.544,9.888,2,21.7221,43.4442,50.3658,-6.9216,2
Apple Valley,Consumer,233.9533333333333,701.8599999999999,563.92,8.64,3,5.3398666666666665,16.0196,7.049,2.5056,3
Apple Valley,Corporate,323.75624999999997,1295.0249999999999,1194.165,10.56,4,63.809250000000006,255.23700000000002,210.735,0.0,4
Apple Valley,Home Office,28.068,56.136,43.176,12.96,2,10.6662,21.3324,15.1116,6.2208,2
Appleton,Consumer,1649.75,1649.75,1649.75,1649.75,1,544.4175,544.4175,544.4175,544.4175,1
Appleton,Home Office,21.56,21.56,21.56,21.56,1,10.3488,10.3488,10.3488,10.3488,1
Arlington,Consumer,612.7980370370371,16545.547000000002,8749.95,2.724,27,153.01860740740742,4131.5024,2799.984,-135.765,27
Arlington,Corporate,130.60265384615383,3395.669,1218.735,1.344,26,-0.5631576923076923,-14.6421,107.9946,-121.8735,26
Arlington,Home Office,39.04514285714286,273.316,61.96,10.44,7,7.548085714285713,52.83659999999999,18.33,-17.469,7
Arlington Heights,Consumer,14.112,14.112,14.112,14.112,1,1.2348,1.2348,1.2348,1.2348,1
Arvada,Corporate,125.85,503.4,466.768,6.264,4,14.9639,59.8556,52.5114,1.7136,4
Asheville,Consumer,358.056,1432.224,1363.96,8.76,4,23.2896,93.1584,85.2475,0.7665,4
Asheville,Corporate,14.384,43.152,19.008,7.872,3,-5.217,-15.651,0.8856,-12.672,3
Athens,Consumer,284.38800000000003,1421.94,1049.93,14.73,5,77.92778,389.6389,293.9804,7.128,5
Athens,Corporate,99.62333333333333,298.87,206.1,12.78,3,29.8944,89.6832,55.647,5.2398,3
Atlanta,Consumer,408.63516129032257,12667.69,6354.95,2.74,31,154.73940967741936,4796.9217,3177.475,0.7398,31
Atlanta,Corporate,522.3,3133.7999999999997,2999.95,9.96,6,250.38783333333333,1502.327,1439.976,3.7236,6
Atlanta,Home Office,698.175,1396.35,1270.99,125.36,2,347.2071,694.4142,635.495,58.9192,2
Atlantic City,Corporate,23.36,23.36,23.36,23.36,1,11.68,11.68,11.68,11.68,1
Auburn,Consumer,134.85515789473683,2562.248,900.08,1.24,19,33.250652631578944,631.7624,240.8595,0.5828,19
Auburn,Corporate,194.99333333333334,584.98,520.05,17.97,3,33.5197,100.5591,72.807,5.2113,3
Auburn,Home Office,3.9699999999999998,7.9399999999999995,4.18,3.76,2,1.2976,2.5952,1.5048,1.0904,2
Aurora,Consumer,197.2057857142857,5521.762,2003.168,1.08,28,-11.96980714285714,-335.15459999999996,250.396,-247.7988,28
Aurora,Corporate,154.60311764705884,2628.253,727.45,2.632,17,-61.62372941176471,-1047.6034,62.1376,-465.568,17
Aurora,Home Office,152.45491304347826,3506.4629999999997,796.425,2.308,23,-56.91219999999999,-1308.9805999999999,26.224,-525.6405,23
Austin,Consumer,93.44554545454547,2055.802,540.048,2.772,22,2.1742000000000004,47.83240000000001,117.432,-58.3056,22
Austin,Corporate,285.9489090909091,3145.438,1439.982,2.896,11,-28.061554545454545,-308.6771,107.082,-263.9967,11
Austin,Home Office,142.79033333333334,856.742,758.352,3.882,6,40.07515,240.4509,265.4232,-14.8832,6
Avondale,Consumer,157.80133333333333,946.808,742.336,14.576,6,12.694833333333333,76.169,83.5128,-16.614,6
Bakersfield,Consumer,119.31490909090908,1312.464,486.368,9.4,11,14.84069090909091,163.2476,37.0,-13.7976,11
Bakersfield,Corporate,18.08,36.16,23.2,12.96,2,7.170399999999999,14.340799999999998,8.12,6.2208,2
Bakersfield,Home Office,9.555333333333333,28.666,19.152,4.73,3,3.445433333333334,10.336300000000001,6.4638,1.5548,3
Baltimore,Consumer,135.16622222222225,2432.992,908.82,8.22,18,33.500822222222226,603.0148,227.205,-23.9372,18
Baltimore,Corporate,130.25166666666667,2344.53,542.94,3.15,18,37.566322222222226,676.1938,141.1644,1.0904,18
Baltimore,Home Office,197.0457142857143,1379.3200000000002,1049.2,1.64,7,56.71277142857143,396.9894,272.792,0.738,7
Bangor,Corporate,232.89000000000001,1164.45,437.85,101.96,5,84.44408,422.2204,131.355,27.5292,5
Bartlett,Consumer,88.96,88.96,88.96,88.96,1,10.008,10.008,10.008,10.008,1
Bayonne,Home Office,61.13333333333333,183.4,104.98,14.46,3,26.46766666666667,79.403,52.49,7.0854,3
Baytown,Corporate,10.368,10.368,10.368,10.368,1,3.6288,3.6288,3.6288,3.6288,1
Beaumont,Consumer,114.837,459.348,319.968,8.624,4,14.539699999999998,58.15879999999999,95.9904,-17.9964,4
Beaumont,Corporate,12.768,12.768,12.768,12.768,1,0.9576,0.9576,0.9576,0.9576,1
Bedford,Corporate,51.324000000000005,205.29600000000002,153.584,9.184,4,0.9520499999999998,3.8081999999999994,13.4386,-22.512,4
Bedford,Home Office,20.96,20.96,20.96,20.96,1,6.812,6.812,6.812,6.812,1
Belleville,Consumer,125.58599999999998,627.93,239.97,6.48,5,37.072559999999996,185.3628,71.991,3.1104,5
Belleville,Corporate,252.734,1263.67,1082.48,14.28,5,19.65728,98.2864,38.024,6.5688,5
Bellevue,Consumer,18.247999999999998,72.99199999999999,24.816,12.96,4,6.97965,27.9186,8.3754,5.4288,4
Bellevue,Corporate,5.28,5.28,5.28,5.28,1,1.5312,1.5312,1.5312,1.5312,1
Bellevue,Home Office,25.35,25.35,25.35,25.35,1,7.605,7.605,7.605,7.605,1
Bellingham,Consumer,1345.37,2690.74,2665.62,25.12,2,123.8779,247.7558,239.9058,7.85,2
Bellingham,Corporate,1099.5,1099.5,1099.5,1099.5,1,362.835,362.835,362.835,362.835,1
Bethlehem,Consumer,518.898,1556.694,1369.764,9.48,3,-330.181,-990.543,0.711,-913.176,3
Bethlehem,Corporate,66.47,132.94,99.372,33.568,2,-6.2764,-12.5528,-5.4548,-7.098,2
Beverly,Corporate,861.0633333333334,2583.19,1737.18,141.76,3,218.30646666666667,654.9194,503.7822,66.6272,3
Billings,Corporate,8.288,8.288,8.288,8.288,1,2.6936,2.6936,2.6936,2.6936,1
Bloomington,Consumer,120.4804,1204.804,617.7,5.176,10,-36.25004,-362.5004,37.758,-407.682,10
Bloomington,Corporate,54.336,54.336,54.336,54.336,1,5.4336,5.4336,5.4336,5.4336,1
Bloomington,Home Office,77.15,308.6,169.45,29.12,4,26.92795,107.7118,42.3625,14.256,4
Boca Raton,Consumer,21.002666666666666,63.007999999999996,39.936,4.608,3,-7.548533333333332,-22.645599999999998,2.308,-26.624,3
Boise,Consumer,89.97,89.97,89.97,89.97,1,37.7874,37.7874,37.7874,37.7874,1
Boise,Corporate,334.8333333333333,1004.5,696.42,3.304,3,61.3833,184.1499,160.1766,1.1151,3
Bolingbrook,Consumer,41.6656,208.32799999999997,148.48,5.768,5,2.3612,11.806000000000001,16.704,-13.5548,5
Bolingbrook,Home Office,9.98,9.98,9.98,9.98,1,-16.467,-16.467,-16.467,-16.467,1
Bossier City,Corporate,236.1966666666667,1417.18,646.74,5.64,6,56.160133333333334,336.9608,258.696,2.7072,6
Bowling Green,Consumer,135.04516666666666,810.271,435.504,5.553,6,16.49815,98.9889,48.9942,-4.0722,6
Bowling Green,Corporate,316.77599999999995,1267.1039999999998,899.982,86.352,4,29.5182,118.0728,74.9985,-1.7495,4
Boynton Beach,Consumer,62.49957142857143,437.497,165.048,10.368,7,5.7505999999999995,40.2542,41.262,-29.94,7
Boynton Beach,Home Office,10.696,32.088,15.528,4.608,3,3.4690999999999996,10.4073,4.8525,1.6704,3
Bozeman,Home Office,21.83,43.66,29.04,14.62,2,10.4053,20.8106,13.9392,6.8714,2
Brentwood,Consumer,162.88933333333333,488.668,319.968,79.9,3,38.51746666666667,115.5524,44.4,35.156,3
Brentwood,Corporate,343.6301818181818,3779.9320000000002,2518.29,8.56,11,92.8027090909091,1020.8298000000001,654.7554,2.8836,11
Brentwood,Home Office,410.757,821.514,761.544,59.97,2,40.214099999999995,80.42819999999999,66.6351,13.7931,2
Bridgeton,Corporate,26.205000000000002,52.410000000000004,40.74,11.67,2,1.7207999999999999,3.4415999999999998,3.0342,0.4074,2
Bristol,Consumer,60.62,121.24,95.94,25.3,2,10.7425,21.485,11.891,9.594,2
Bristol,Corporate,106.2382,1062.382,359.98,2.808,10,5.17063,51.7063,93.5948,-115.7156,10
Bristol,Home Office,67.56,67.56,67.56,67.56,1,8.445,8.445,8.445,8.445,1
Broken Arrow,Consumer,6.43,12.86,6.48,6.38,2,3.0225999999999997,6.0451999999999995,3.1104,2.9348,2
Broken Arrow,Corporate,802.365,1604.73,1592.85,11.88,2,177.8865,355.773,350.427,5.346,2
Broken Arrow,Home Office,821.94,821.94,821.94,821.94,1,213.7044,213.7044,213.7044,213.7044,1
Broomfield,Consumer,181.268,725.072,662.88,8.736,4,13.47275,53.891,74.574,-13.312,4
Broomfield,Corporate,68.432,68.432,68.432,68.432,1,8.554,8.554,8.554,8.554,1
Brownsville,Consumer,164.7384,329.4768,327.7328,1.744,2,-7.4038,-14.8076,-0.3488,-14.4588,2
Brownsville,Corporate,123.892,247.784,237.096,10.688,2,12.24335,24.4867,20.7459,3.7408,2
Brownsville,Home Office,238.322,714.966,335.72,127.302,3,64.13096666666667,192.3929,113.3055,-9.093,3
Bryan,Corporate,275.40799999999996,550.8159999999999,528.43,22.386,2,-89.6243,-179.2486,-35.8176,-143.431,2
Bryan,Home Office,16.46,65.84,52.752,1.408,4,-8.61575,-34.463,-2.3232,-13.188,4
Buffalo,Consumer,1190.4013333333332,7142.407999999999,4007.84,2.78,6,123.41985000000001,740.5191000000001,726.5619,-50.098,6
Buffalo,Corporate,480.272,1921.088,1522.638,43.6,4,63.089999999999996,252.35999999999999,169.182,12.208,4
Buffalo Grove,Consumer,415.6995,831.399,475.944,355.455,2,-44.8239,-89.6478,95.1888,-184.8366,2
Bullhead City,Consumer,11.144,22.288,14.368,7.92,2,3.3616,6.7232,3.9512,2.772,2
Burbank,Home Office,1082.3860000000002,3247.1580000000004,1856.19,111.0,3,254.84459999999999,764.5337999999999,415.9896,14.43,3
Burlington,Consumer,303.1856666666667,3638.228,1781.682,1.752,12,-14.081725000000006,-168.98070000000007,178.8,-653.2834,12
Burlington,Corporate,1676.5817777777777,15089.235999999999,7999.98,8.04,9,-276.6741666666667,-2490.0675,1013.127,-3839.9904,9
Burlington,Home Office,735.1545,2940.618,1633.188,5.4,4,-240.95725000000002,-963.8290000000001,336.635,-1306.5504,4
Caldwell,Corporate,151.87733333333333,455.63199999999995,338.352,25.92,3,19.56553333333333,58.6966,42.0256,4.2294,3
Camarillo,Consumer,14.73,14.73,14.73,14.73,1,7.2177,7.2177,7.2177,7.2177,1
Camarillo,Corporate,363.196875,1452.7875,722.352,97.568,4,37.894475,151.5779,81.2646,-6.098,4
Cambridge,Home Office,83.68166666666667,502.09000000000003,311.98,17.12,6,28.9546,173.7276,93.594,4.9648,6
Canton,Corporate,158.16,316.32,287.92,28.4,2,74.6388,149.2776,138.2016,11.076,2
Canton,Home Office,501.81,501.81,501.81,501.81,1,0.0,0.0,0.0,0.0,1
Carlsbad,Consumer,19.588,39.176,28.4,10.776,2,8.357750000000001,16.715500000000002,13.348,3.3675,2
Carlsbad,Corporate,25.314000000000004,151.88400000000001,67.04,4.17,6,5.857633333333333,35.1458,10.4496,1.0842,6
Carlsbad,Home Office,76.09333333333333,228.28,192.16,16.68,3,35.3016,105.90480000000001,92.2368,4.3368,3
Carol Stream,Consumer,261.162,1305.81,435.504,11.168,5,-7.97366,-39.8683,48.9942,-92.7996,5
Carrollton,Consumer,174.2493333333333,2090.9919999999997,1399.944,2.512,12,-41.21610833333333,-494.59329999999994,52.4979,-512.1468,12
Carrollton,Corporate,36.55133333333334,109.65400000000001,95.968,3.318,3,8.126466666666667,24.3794,26.3912,-5.6406,3
Cary,Corporate,84.20133333333332,505.20799999999997,246.168,8.376,6,9.006433333333334,54.0386,21.5397,2.2824,6
Cedar Hill,Consumer,7.08,7.08,7.08,7.08,1,2.478,2.478,2.478,2.478,1
Cedar Hill,Corporate,115.296,115.296,115.296,115.296,1,40.3536,40.3536,40.3536,40.3536,1
Cedar Rapids,Consumer,278.4,278.4,278.4,278.4,1,80.736,80.736,80.736,80.736,1
Champaign,Consumer,151.96,151.96,151.96,151.96,1,-182.352,-182.352,-182.352,-182.352,1
Chandler,Consumer,9.120000000000001,18.240000000000002,9.344,8.896,2,1.268,2.536,1.8688,0.6672,2
Chandler,Corporate,78.89750000000001,157.79500000000002,83.88,73.915,2,-8.23465,-16.4693,29.358,-45.8273,2
Chandler,Home Office,300.2373333333333,900.712,842.376,8.544,3,31.797933333333333,95.3938,105.297,-11.8256,3
Chapel Hill,Corporate,14.016,14.016,14.016,14.016,1,4.7304,4.7304,4.7304,4.7304,1
Charlotte,Consumer,321.46956,8036.7390000000005,2624.985,3.304,25,-17.96034,-449.00849999999997,303.804,-944.9946,25
Charlotte,Corporate,211.61425,3385.828,978.84,4.928,16,-0.8367624999999999,-13.388199999999998,119.996,-292.1,16
Charlotte,Home Office,206.43381818181817,2270.772,580.672,18.936,11,2.964936363636362,32.614299999999986,76.704,-47.2542,11
Charlottesville,Consumer,34.65,34.65,34.65,34.65,1,10.395,10.395,10.395,10.395,1
Charlottesville,Home Office,67.96,67.96,67.96,67.96,1,12.2328,12.2328,12.2328,12.2328,1
Chattanooga,Consumer,108.14342857142857,757.004,390.368,3.564,7,7.591728571428571,53.1421,48.796,-32.3838,7
Chattanooga,Corporate,70.16199999999999,140.32399999999998,132.224,8.1,2,-12.060400000000001,-24.120800000000003,-5.94,-18.1808,2
Chattanooga,Home Office,91.475,91.475,91.475,91.475,1,-1.8295,-1.8295,-1.8295,-1.8295,1
Chesapeake,Consumer,367.4666666666667,4409.6,1652.94,17.46,12,69.93320833333333,839.1985,314.0586,7.9812,12
Chesapeake,Corporate,89.44,447.2,161.61,15.0,5,27.7217,138.6085,42.0355,7.2,5
Chesapeake,Home Office,1139.92,1139.92,1139.92,1139.92,1,284.98,284.98,284.98,284.98,1
Chester,Consumer,368.92333333333335,1106.77,853.93,82.782,3,-6.6785,-20.0355,0.0,-15.1767,3
Chester,Corporate,99.74549999999999,199.49099999999999,190.896,8.595,2,-24.627299999999998,-49.254599999999996,-6.303,-42.9516,2
Chester,Home Office,60.20163636363636,662.218,200.984,2.696,11,10.695263636363636,117.6479,62.8075,-13.6312,11
Cheyenne,Home Office,1603.136,1603.136,1603.136,1603.136,1,100.196,100.196,100.196,100.196,1
Chicago,Consumer,144.44714367816093,25133.803,2735.952,1.592,174,-15.829922988505746,-2754.4066,341.994,-566.5625,174
Chicago,Corporate,142.42049367088606,11251.219,2799.96,0.836,79,-37.36811518987342,-2952.0811000000003,874.9875,-2929.4845,79
Chicago,Home Office,199.25440983606558,12154.519,1007.979,1.788,61,-15.542313114754101,-948.0811000000002,335.9944,-1143.891,61
Chico,Consumer,18.05666666666667,54.17,36.44,2.21,3,8.1481,24.4443,16.398,0.5967,3
Chico,Corporate,125.51866666666666,753.112,435.168,7.992,6,-2.3407500000000003,-14.044500000000001,26.973,-59.8356,6
Chico,Home Office,621.448,1242.896,915.136,327.76,2,97.3628,194.7256,102.9528,91.7728,2
Chula Vista,Consumer,187.87,375.74,192.8,182.94,2,70.9469,141.8938,85.9818,55.912,2
Chula Vista,Home Office,665.88,665.88,665.88,665.88,1,106.5408,106.5408,106.5408,106.5408,1
Cincinnati,Consumer,52.31766666666667,627.812,285.552,2.624,12,7.687808333333333,92.2537,35.988,-10.5798,12
Cincinnati,Corporate,196.83280000000002,984.1640000000001,839.988,18.432,5,16.61668,83.0834,69.999,-12.288,5
Citrus Heights,Consumer,129.39,129.39,129.39,129.39,1,54.3438,54.3438,54.3438,54.3438,1
Clarksville,Consumer,568.078,1704.234,1598.058,36.96,3,-347.3708000000001,-1042.1124000000002,12.012,-1065.372,3
Clarksville,Home Office,128.374,513.496,387.136,3.0,4,-3.3101999999999996,-13.240799999999998,11.9196,-14.5176,4
Cleveland,Consumer,159.3624074074074,4302.785,1006.056,5.04,27,-26.446433333333335,-714.0537,88.0299,-241.176,27
Cleveland,Corporate,48.30133333333333,144.904,115.96,13.872,3,-18.588066666666666,-55.7642,5.0286,-64.9376,3
Cleveland,Home Office,158.208,1898.4959999999999,848.544,8.7,12,-6.515833333333333,-78.19,28.7064,-52.641,12
Clifton,Consumer,168.41,336.82,254.9,81.92,2,49.294200000000004,98.58840000000001,76.47,22.1184,2
Clinton,Consumer,123.62007142857144,1730.681,550.431,4.77,14,29.145464285714286,408.0365,209.2365,-47.1798,14
Clinton,Corporate,302.69545454545454,3329.65,1259.93,15.66,11,66.84698181818182,735.3168,327.5818,0.0,11
Clinton,Home Office,113.47999999999999,453.91999999999996,355.96,19.98,4,32.7222,130.8888,103.2284,4.908,4
Clovis,Consumer,55.71,111.42,101.34,10.08,2,5.8176000000000005,11.635200000000001,8.1072,3.528,2
Coachella,Corporate,81.775,163.55,99.99,63.56,2,23.5868,47.1736,43.9956,3.178,2
College Station,Consumer,97.014,291.042,233.058,28.672,3,-39.20746666666667,-117.6224,10.3936,-74.7456,3
Colorado Springs,Consumer,112.122,1345.464,590.058,4.224,12,-92.91910833333334,-1115.0293000000001,28.7064,-786.744,12
Colorado Springs,Corporate,107.05444444444444,963.49,300.416,1.938,9,4.270844444444445,38.4376,78.8592,-62.88,9
Colorado Springs,Home Office,346.26374999999996,1385.0549999999998,1325.76,3.108,4,29.976899999999997,119.90759999999999,149.148,-32.508,4
Columbia,Consumer,311.1446190476191,13068.074,2541.98,8.832,42,79.39061428571429,3334.4058,1270.99,-28.2744,42
Columbia,Corporate,311.7242,9351.726,1875.258,5.4,30,36.89805666666666,1106.9416999999999,473.6106,-968.8833,30
Columbia,Home Office,318.1693333333333,2863.524,1927.59,9.664,9,129.4188,1164.7692,751.7601,-14.592,9
Columbus,Consumer,178.25102654867254,20142.365999999998,2939.93,2.502,113,26.392684955752213,2982.3734,764.3818,-377.9892,113
Columbus,Corporate,173.90254054054054,12868.788,1049.97,1.98,74,26.0074472972973,1924.5511000000001,411.7365,-209.994,74
Columbus,Home Office,162.71682857142858,5695.089,1267.65,3.132,35,28.290765714285712,990.1768,152.118,-58.1332,35
Commerce City,Consumer,146.352,146.352,146.352,146.352,1,-32.9292,-32.9292,-32.9292,-32.9292,1
Concord,Consumer,386.0578666666667,5790.868,4297.644,3.104,15,-113.08842666666666,-1696.3264,32.4684,-1862.3124,15
Concord,Corporate,433.9943999999999,2169.9719999999998,1626.192,3.52,5,50.46,252.3,121.9644,1.6896,5
Concord,Home Office,234.68745454545453,2581.562,824.95,24.64,11,65.94431818181819,725.3875,247.485,2.4898,11
Conroe,Corporate,111.672,111.672,111.672,111.672,1,6.9795,6.9795,6.9795,6.9795,1
Conway,Consumer,301.96,301.96,301.96,301.96,1,45.294,45.294,45.294,45.294,1
Coon Rapids,Consumer,251.565,503.13,281.97,221.16,2,68.2266,136.4532,78.9516,57.5016,2
Coppell,Consumer,13.365333333333332,40.096,16.784,10.192,3,2.2490666666666663,6.747199999999999,3.772,-0.2098,3
Coppell,Corporate,95.84,95.84,95.84,95.84,1,34.742,34.742,34.742,34.742,1
Coral Gables,Corporate,32.124,64.248,52.68,11.568,2,11.178899999999999,22.357799999999997,19.755,2.6028,2
Coral Springs,Consumer,235.36533333333333,706.096,387.136,4.608,3,3.3253333333333344,9.976000000000003,24.196,-15.7176,3
Coral Springs,Corporate,23.7792,118.896,55.968,6.992,5,1.71616,8.5808,5.4432,-2.0988,5
Corpus Christi,Corporate,20.88457142857143,146.192,58.36,6.048,7,-9.566485714285715,-66.9654,2.14,-24.803,7
Corpus Christi,Home Office,74.352,74.352,74.352,74.352,1,23.235,23.235,23.235,23.235,1
Costa Mesa,Consumer,135.5511111111111,1219.96,258.576,29.22,9,28.66451111111111,257.9806,81.8432,12.8568,9
Costa Mesa,Home Office,138.855,277.71,239.97,37.74,2,19.61415,39.2283,26.3967,12.8316,2
Cottage Grove,Consumer,72.17999999999999,144.35999999999999,119.8,24.56,2,27.398400000000002,54.796800000000005,47.92,6.8768,2
Covington,Corporate,46.9,46.9,46.9,46.9,1,13.132,13.132,13.132,13.132,1
Covington,Home Office,122.25999999999999,366.78,236.88,29.9,3,33.992466666666665,101.9774,66.3264,14.651,3
Cranston,Consumer,277.4295,2219.436,1604.9,10.16,8,65.0576875,520.4615,481.47,-60.6078,8
Cranston,Corporate,173.24857142857144,1212.74,637.896,2.22,7,-6.143371428571429,-43.003600000000006,50.5632,-127.5792,7
Cranston,Home Office,592.74,592.74,592.74,592.74,1,160.0398,160.0398,160.0398,160.0398,1
Cuyahoga Falls,Consumer,10.370999999999999,20.741999999999997,18.528,2.214,2,-6.914,-13.828,-1.476,-12.352,2
Cuyahoga Falls,Corporate,8.352,8.352,8.352,8.352,1,1.2528,1.2528,1.2528,1.2528,1
Dallas,Consumer,109.9301038961039,8464.618,1352.3976,1.08,77,-19.579548051948052,-1507.6252,84.66,-437.5404,77
Dallas,Corporate,145.56062641509433,7714.7132,1099.96,1.044,53,-23.925764150943394,-1268.0655,82.497,-1141.47,53
Dallas,Home Office,146.39262962962962,3952.601,981.372,3.96,27,-2.623518518518518,-70.835,128.6805,-140.196,27
Danbury,Home Office,27.46,27.46,27.46,27.46,1,9.8856,9.8856,9.8856,9.8856,1
Danville,Home Office,171.75057142857142,1202.254,590.352,5.58,7,30.435042857142857,213.0453,206.6232,-69.3952,7
Davis,Consumer,32.4,32.4,32.4,32.4,1,15.552,15.552,15.552,15.552,1
Daytona Beach,Consumer,68.082875,272.3315,191.5155,2.624,4,-13.0835,-52.334,14.628,-76.6062,4
Dearborn,Corporate,320.66200000000003,1603.3100000000002,555.21,60.84,5,93.47728,467.3864,178.901,23.1192,5
Dearborn Heights,Consumer,175.26166666666668,1051.5700000000002,689.82,13.89,6,23.48175,140.8905,47.0548,4.5837,6
Decatur,Consumer,143.83544999999998,2876.709,747.558,7.692,20,-0.13439499999999988,-2.6878999999999973,89.991,-96.1146,20
Decatur,Corporate,244.5056,3667.584,1215.92,10.272,15,46.116233333333334,691.7435,316.1392,-320.2395,15
Deer Park,Corporate,6.924,6.924,6.924,6.924,1,-10.386,-10.386,-10.386,-10.386,1
Delray Beach,Consumer,9.912,9.912,9.912,9.912,1,3.2214,3.2214,3.2214,3.2214,1
Delray Beach,Corporate,116.31200000000001,232.62400000000002,184.704,47.92,2,12.9164,25.8328,13.8528,11.98,2
Deltona,Consumer,147.14,294.28,186.304,107.976,2,25.8822,51.7644,37.7916,13.9728,2
Deltona,Corporate,290.55199999999996,581.1039999999999,575.92,5.184,2,34.1806,68.3612,71.99,-3.6288,2
Deltona,Home Office,17.856,17.856,17.856,17.856,1,2.0088,2.0088,2.0088,2.0088,1
Denver,Consumer,313.29505,6265.901,1983.968,2.6,20,3.509925,70.1985,247.996,-299.8116,20
Denver,Corporate,265.4361818181818,5839.596,906.68,1.872,22,-15.392177272727274,-338.6279,164.997,-363.528,22
Denver,Home Office,46.647999999999996,93.29599999999999,63.824,29.472,2,11.7547,23.5094,13.5626,9.9468,2
Des Moines,Consumer,565.69625,4525.57,1799.97,6.12,8,165.07515,1320.6012,701.9883,-2.6997,8
Des Moines,Corporate,98.2025,785.62,404.94,7.71,8,29.3872875,235.0983,109.3338,3.4695,8
Des Moines,Home Office,50.696,152.088,107.648,18.54,3,18.348266666666667,55.0448,33.64,8.7138,3
Des Plaines,Consumer,248.86866666666666,1493.212,424.116,2.892,6,-39.46123333333333,-236.7674,47.98,-175.26,6
Detroit,Consumer,356.7916923076923,23191.46,9892.74,5.47,65,131.33116615384617,8536.525800000001,4946.37,2.2828,65
Detroit,Corporate,454.13982857142855,15894.894,3504.9,2.2,35,107.01461142857144,3745.5114000000003,700.98,0.2198,35
Detroit,Home Office,224.0393333333333,3360.5899999999997,850.5,4.54,15,59.98357333333333,899.7536,245.7,2.043,15
Dover,Consumer,92.56200000000001,925.6200000000001,671.94,9.84,10,39.714999999999996,397.15,315.8118,2.8536,10
Dover,Corporate,103.24666666666667,619.48,211.96,33.28,6,32.9217,197.5302,60.1398,9.3184,6
Dover,Home Office,1110.9913333333334,3332.974,2249.91,29.9,3,142.27129999999997,426.81389999999993,517.4793,-105.3164,3
Draper,Consumer,75.86,151.72,126.56,25.16,2,29.0136,58.0272,47.46,10.5672,2
Draper,Corporate,111.93,111.93,111.93,111.93,1,34.6983,34.6983,34.6983,34.6983,1
Dublin,Consumer,111.97616666666666,1343.714,479.988,3.798,12,-23.47875,-281.745,107.9892,-383.9904,12
Dublin,Corporate,528.723,1057.446,1048.35,9.096,2,-34.09225,-68.1845,1.7055,-69.89,2
Dubuque,Consumer,263.96,263.96,263.96,263.96,1,76.5484,76.5484,76.5484,76.5484,1
Dubuque,Home Office,711.67,1423.34,1408.1,15.24,2,200.563,401.126,394.268,6.858,2
